Kind,Name,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
Public Method,"org.java_websocket.server.WebSocketServer.onWebsocketCloseInitiated",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"org.java_websocket.server.WebSocketServer.onWebsocketClosing",,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,1,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"org.java_websocket.server.WebSocketServer.onWebsocketError",,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,0,3,1,1,4,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,1,33,1,1,1,1
Public Method,"org.java_websocket.server.WebSocketServer.onWebsocketHandshakeReceivedAsServer",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"org.java_websocket.server.WebSocketServer.onWebsocketMessage",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"org.java_websocket.server.WebSocketServer.onWebsocketMessage",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"org.java_websocket.server.WebSocketServer.onWebsocketMessageFragment",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,1,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,33,1,1,1,1
Public Method,"org.java_websocket.server.WebSocketServer.onWebsocketOpen",,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,0,5,1,2,0,2,2,0,1,3,1,2,2,2,2,1,0,,,,,0,,1,0,,,0,00,2,2,2,1
Public Method,"org.java_websocket.server.WebSocketServer.onWriteDemand",,,,,,,,,,,,,,,,,,,,,,,,,,,6,10,0,9,2,6,1,3,2,0,4,6,2,4,2,2,2,1,1,,,,,0,,1,0,,,0,11,2,2,2,1
Private Method,"org.java_websocket.server.WebSocketServer.pushBuffer",,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,5,1,3,0,3,2,0,2,4,1,3,2,2,2,1,1,,,,,0,,1,0,,,0,00,2,2,2,1
Private Method,"org.java_websocket.server.WebSocketServer.queue",,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,0,7,1,4,0,5,2,0,3,5,1,4,2,2,2,1,0,,,,,0,,1,0,,,0,00,2,2,2,1
Protected Method,"org.java_websocket.server.WebSocketServer.releaseBuffers",,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,0,2,1,0,2,0,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,1,00,1,1,1,1
Protected Method,"org.java_websocket.server.WebSocketServer.removeConnection",,,,,,,,,,,,,,,,,,,,,,,,,,,5,17,0,11,2,6,6,5,2,0,5,8,2,6,2,2,3,1,0,,,,,0,,1,0,,,0,55,2,2,3,1
Public Method,"org.java_websocket.server.WebSocketServer.run",,,,,,,,,,,,,,,,,,,,,,,,,,,20,137,7,127,11,101,5,53,18350,4,59,90,12,78,32,32,32,13,35,,,,,34,,10,29,,,0,04,32,32,32,13
Public Method,"org.java_websocket.server.WebSocketServer.setWebSocketFactory",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Method,"org.java_websocket.server.WebSocketServer.start",,,,,,,,,,,,,,,,,,,,,,,,,,,1,14,0,5,1,3,9,3,2,0,3,4,1,3,2,2,2,1,0,,,,,0,,1,0,,,1,80,2,2,2,1
Public Method,"org.java_websocket.server.WebSocketServer.stop",,,,,,,,,,,,,,,,,,,,,,,,,,,6,44,5,24,2,15,18,6,15,1,7,17,3,14,7,7,7,1,1,,,,,0,,3,0,,,0,75,7,7,7,1
Public Method,"org.java_websocket.server.WebSocketServer.stop",,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,3,1,1,0,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Private Method,"org.java_websocket.server.WebSocketServer.takeBuffer",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Package,"org.java_websocket.util",3,3,3,1,32,2,16,17,,,,,5,34,21,,2,,14,19,48,,0,6,0,42,,2155,313,965,353,662,1171,,,,409,570,189,381,,,,,,16,16,18,13,,,5,,,,1,21,168,166,178,77
Public Class,"org.java_websocket.util.Base64",4,3,4,1,40,3,19,22,1,2,2,0,,27,20,,,,1,0,28,28,0,6,0,22,,2063,299,907,332,635,1151,,,,379,528,168,360,,,,,,16,16,17,7,,1,5,,0,0,1,27,113,111,119,42
Private Constructor,"org.java_websocket.util.Base64.Base64",,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,0,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0,,,,,0,,0,0,,,1,00,1,1,1,1
Public Static Class,"org.java_websocket.util.Base64.InputStream",5,5,6,4,43,4,25,22,1,1,1,0,,0,0,,,,4,9,4,4,0,0,0,4,,203,26,113,26,67,105,,,,61,82,24,58,,,,,,15,15,18,13,,2,4,,52,5,0,93,22,22,25,19
Public Constructor,"org.java_websocket.util.Base64.InputStream.InputStream",,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,0,3,1,1,7,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,2,33,1,1,1,1
Public Constructor,"org.java_websocket.util.Base64.InputStream.InputStream",,,,,,,,,,,,,,,,,,,,,,,,,,,7,32,1,11,1,9,22,10,1,0,9,10,1,9,2,2,2,1,0,,,,,0,,0,0,,,2,00,2,2,2,1
Public Method,"org.java_websocket.util.Base64.InputStream.read",,,,,,,,,,,,,,,,,,,,,,,,,,,12,101,15,68,8,48,43,7,56,2,33,47,9,38,15,15,18,13,20,,,,,20,,4,18,,,0,63,15,15,18,13
Public Method,"org.java_websocket.util.Base64.InputStream.read",,,,,,,,,,,,,,,,,,,,,,,,,,,4,31,1,18,4,9,16,3,4,1,9,13,3,10,4,4,4,4,7,,,,,4,,2,3,,,0,89,4,4,4,4
Public Static Class,"org.java_websocket.util.Base64.OutputStream",2,2,2,1,21,1,10,12,1,1,1,0,,0,0,,,,8,10,8,8,0,0,0,8,,217,33,97,25,51,114,,,,50,70,21,49,,,,,,8,8,9,1,,2,3,,63,28,1,18,20,20,21,8
Public Constructor,"org.java_websocket.util.Base64.OutputStream.OutputStream",,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,0,3,1,1,7,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,2,33,1,1,1,1
Public Constructor,"org.java_websocket.util.Base64.OutputStream.OutputStream",,,,,,,,,,,,,,,,,,,,,,,,,,,7,32,0,13,1,11,20,12,1,0,11,12,1,11,2,2,2,1,0,,,,,0,,0,0,,,1,54,2,2,2,1
Public Method,"org.java_websocket.util.Base64.OutputStream.close",,,,,,,,,,,,,,,,,,,,,,,,,,,4,16,2,6,1,4,9,3,1,0,4,5,1,4,1,1,1,1,0,,,,,0,,0,0,,,1,50,1,1,1,1
Public Method,"org.java_websocket.util.Base64.OutputStream.flushBase64",,,,,,,,,,,,,,,,,,,,,,,,,,,7,17,1,11,1,6,9,3,3,0,3,6,1,5,3,3,3,1,1,,,,,0,,2,0,,,0,82,3,3,3,1
Public Method,"org.java_websocket.util.Base64.OutputStream.resumeEncoding",,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,0,3,1,1,8,1,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,2,67,1,1,1,1
Public Method,"org.java_websocket.util.Base64.OutputStream.suspendEncoding",,,,,,,,,,,,,,,,,,,,,,,,,,,0,12,0,4,1,2,9,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,2,25,1,1,1,1
Public Method,"org.java_websocket.util.Base64.OutputStream.write",,,,,,,,,,,,,,,,,,,,,,,,,,,17,54,6,32,3,21,27,6,8,1,13,21,2,19,8,8,9,1,3,,,,,0,,3,0,,,0,84,8,8,9,1
Public Method,"org.java_websocket.util.Base64.OutputStream.write",,,,,,,,,,,,,,,,,,,,,,,,,,,4,22,2,10,2,5,13,2,3,0,5,8,2,6,3,3,3,1,1,,,,,0,,1,0,,,1,30,3,3,3,1
Public Static Method,"org.java_websocket.util.Base64.decode",,,,,,,,,,,,,,,,,,,,,,,,,,,3,23,0,6,3,3,17,2,1,0,3,4,2,2,1,1,1,1,0,,,,,0,,0,0,,,2,83,1,1,1,1
Public Static Method,"org.java_websocket.util.Base64.decode",,,,,,,,,,,,,,,,,,,,,,,,,,,10,79,10,46,11,34,43,5,52,2,23,33,10,23,10,10,11,7,7,,,,,7,,5,7,,,0,93,10,10,11,7
Public Static Method,"org.java_websocket.util.Base64.decode",,,,,,,,,,,,,,,,,,,,,,,,,,,2,12,0,3,1,1,9,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,3,00,1,1,1,1
Public Static Method,"org.java_websocket.util.Base64.decode",,,,,,,,,,,,,,,,,,,,,,,,,,,8,70,11,42,9,30,27,8,104,2,22,32,9,23,10,10,12,1,5,,,,,0,,4,0,,,0,64,10,10,12,1
Private Static Method,"org.java_websocket.util.Base64.decode4to3",,,,,,,,,,,,,,,,,,,,,,,,,,,10,98,11,43,10,32,49,4,48,2,17,24,5,19,7,7,9,3,2,,,,,2,,1,2,,,1,14,7,7,9,3
Public Static Method,"org.java_websocket.util.Base64.decodeFileToFile",,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,1,17,4,11,13,3,4,1,6,9,3,6,3,3,3,1,2,,,,,0,,1,0,,,0,76,3,3,3,1
Public Static Method,"org.java_websocket.util.Base64.decodeFromFile",,,,,,,,,,,,,,,,,,,,,,,,,,,4,58,7,32,8,22,26,5,10,1,15,20,7,13,5,5,5,1,2,,,,,0,,2,0,,,0,81,5,5,5,1
Public Static Method,"org.java_websocket.util.Base64.decodeToFile",,,,,,,,,,,,,,,,,,,,,,,,,,,5,30,2,15,3,9,18,3,4,1,5,8,2,6,3,3,3,1,2,,,,,0,,1,0,,,1,20,3,3,3,1
Public Static Method,"org.java_websocket.util.Base64.decodeToObject",,,,,,,,,,,,,,,,,,,,,,,,,,,2,16,0,4,2,1,12,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,3,00,1,1,1,1
Public Static Method,"org.java_websocket.util.Base64.decodeToObject",,,,,,,,,,,,,,,,,,,,,,,,,,,6,67,7,40,8,28,33,4,16,1,16,23,7,16,6,6,6,1,6,,,,,0,,1,0,,,0,82,6,6,6,1
Anonymous Class,"org.java_websocket.util.Base64.decodeToObject.(Anon_1)",2,2,2,1,9,0,9,3,1,1,1,0,,0,0,,,,1,0,1,1,0,0,0,1,,11,0,11,1,9,3,,,,3,5,2,3,,,,,,2,2,2,1,,2,1,,0,0,0,27,2,2,2,1
Public Method,"org.java_websocket.util.Base64.decodeToObject.(Anon_1).resolveClass",,,,,,,,,,,,,,,,,,,,,,,,,,,2,9,0,9,1,7,3,4,2,0,3,5,2,3,2,2,2,1,1,,,,,0,,1,0,,,0,33,2,2,2,1
Public Static Method,"org.java_websocket.util.Base64.encode",,,,,,,,,,,,,,,,,,,,,,,,,,,3,22,1,10,4,7,12,6,2,0,6,8,4,4,2,2,2,1,0,,,,,0,,1,0,,,1,20,2,2,2,1
Public Static Method,"org.java_websocket.util.Base64.encode",,,,,,,,,,,,,,,,,,,,,,,,,,,3,24,1,12,4,8,12,6,3,0,8,11,5,6,3,3,3,1,0,,,,,0,,2,0,,,1,00,3,3,3,1
Private Static Method,"org.java_websocket.util.Base64.encode3to4",,,,,,,,,,,,,,,,,,,,,,,,,,,8,19,0,4,1,2,16,2,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,4,00,1,1,1,1
Private Static Method,"org.java_websocket.util.Base64.encode3to4",,,,,,,,,,,,,,,,,,,,,,,,,,,10,71,7,31,6,25,35,3,4,1,18,20,3,17,7,5,7,1,6,,,,,0,,1,0,,,1,13,7,5,7,1
Public Static Method,"org.java_websocket.util.Base64.encodeBytes",,,,,,,,,,,,,,,,,,,,,,,,,,,6,22,0,10,2,7,14,3,2,0,5,7,2,5,2,2,2,1,1,,,,,0,,1,0,,,1,40,2,2,2,1
Public Static Method,"org.java_websocket.util.Base64.encodeBytes",,,,,,,,,,,,,,,,,,,,,,,,,,,3,32,0,3,1,1,30,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,10,00,1,1,1,1
Public Static Method,"org.java_websocket.util.Base64.encodeBytes",,,,,,,,,,,,,,,,,,,,,,,,,,,5,31,0,10,2,7,23,3,2,0,5,7,2,5,2,2,2,1,1,,,,,0,,1,0,,,2,30,2,2,2,1
Public Static Method,"org.java_websocket.util.Base64.encodeBytes",,,,,,,,,,,,,,,,,,,,,,,,,,,8,44,2,9,2,5,36,2,2,0,3,5,2,3,2,2,2,1,1,,,,,0,,1,0,,,4,00,2,2,2,1
Public Static Method,"org.java_websocket.util.Base64.encodeBytesToBytes",,,,,,,,,,,,,,,,,,,,,,,,,,,4,20,0,9,2,6,11,3,2,0,4,6,2,4,2,2,2,1,1,,,,,0,,1,0,,,1,22,2,2,2,1
Public Static Method,"org.java_websocket.util.Base64.encodeBytesToBytes",,,,,,,,,,,,,,,,,,,,,,,,,,,13,126,20,69,12,52,52,8,640,3,38,52,12,40,16,16,17,3,6,,,,,2,,3,2,,,0,75,16,16,17,3
Public Static Method,"org.java_websocket.util.Base64.encodeFileToFile",,,,,,,,,,,,,,,,,,,,,,,,,,,3,26,1,17,4,11,14,4,4,1,6,9,3,6,3,3,3,1,2,,,,,0,,1,0,,,0,82,3,3,3,1
Public Static Method,"org.java_websocket.util.Base64.encodeFromFile",,,,,,,,,,,,,,,,,,,,,,,,,,,5,50,6,26,8,18,25,5,6,1,12,16,7,9,4,4,4,1,2,,,,,0,,2,0,,,0,96,4,4,4,1
Public Static Method,"org.java_websocket.util.Base64.encodeObject",,,,,,,,,,,,,,,,,,,,,,,,,,,2,22,0,4,2,1,19,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,4,75,1,1,1,1
Public Static Method,"org.java_websocket.util.Base64.encodeObject",,,,,,,,,,,,,,,,,,,,,,,,,,,7,79,6,36,6,26,44,4,192,2,18,27,5,22,9,9,9,1,7,,,,,0,,2,0,,,1,22,9,9,9,1
Public Static Method,"org.java_websocket.util.Base64.encodeToFile",,,,,,,,,,,,,,,,,,,,,,,,,,,4,35,3,18,3,11,20,2,8,1,6,10,2,8,4,4,4,1,2,,,,,0,,1,0,,,1,11,4,4,4,1
Private Static Method,"org.java_websocket.util.Base64.getAlphabet",,,,,,,,,,,,,,,,,,,,,,,,,,,7,16,0,9,1,6,8,1,3,0,3,6,1,5,3,3,3,3,2,,,,,2,,1,2,,,0,89,3,3,3,3
Private Static Method,"org.java_websocket.util.Base64.getDecodabet",,,,,,,,,,,,,,,,,,,,,,,,,,,10,16,0,9,1,6,8,1,3,0,3,6,1,5,3,3,3,3,2,,,,,2,,1,2,,,0,89,3,3,3,3
Public Class,"org.java_websocket.util.Charsetfunctions",1,1,1,1,6,0,6,0,1,2,2,0,,7,1,,,,0,0,7,7,0,0,0,7,,78,10,48,11,27,20,,,,20,32,11,21,,,,,,2,2,2,1,,1,1,,85,85,0,42,11,11,11,7
Public Static Method,"org.java_websocket.util.Charsetfunctions.asciiBytes",,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,0,7,1,4,0,2,2,0,2,4,1,3,2,2,2,1,1,,,,,0,,1,0,,,0,00,2,2,2,1
Public Static Method,"org.java_websocket.util.Charsetfunctions.main",,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,0,4,1,2,0,4,1,0,2,3,1,2,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Static Method,"org.java_websocket.util.Charsetfunctions.stringAscii",,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,0,3,1,1,0,2,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Static Method,"org.java_websocket.util.Charsetfunctions.stringAscii",,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,0,7,1,4,0,1,2,0,2,4,1,3,2,2,2,1,1,,,,,0,,1,0,,,0,00,2,2,2,1
Public Static Method,"org.java_websocket.util.Charsetfunctions.stringUtf8",,,,,,,,,,,,,,,,,,,,,,,,,,,6,15,0,14,3,10,1,9,2,0,9,11,3,8,2,2,2,1,1,,,,,0,,1,0,,,0,07,2,2,2,1
Public Static Method,"org.java_websocket.util.Charsetfunctions.stringUtf8",,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,3,1,1,0,3,1,0,1,2,1,1,1,1,1,1,0,,,,,0,,0,0,,,0,00,1,1,1,1
Public Static Method,"org.java_websocket.util.Charsetfunctions.utf8Bytes",,,,,,,,,,,,,,,,,,,,,,,,,,,8,7,0,7,1,4,0,2,2,0,2,4,1,3,2,2,2,1,1,,,,,0,,1,0,,,0,00,2,2,2,1
